url,title,product,author,votes
https://community.conga.com/s/ideadetail?id=087Ub0000000AKLIA2,Product Status (Custom field) for Renewals Automation,Conga Subscription Management (fka Asset Based Ordering),Rahul Karwal,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AIjIAM,Array Functionality supported in Composer,Conga Composer,Micala Merino,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AH7IAM,Use currency symbols based off of related quote/proposal currency instead of org settings.,Conga Billing,John Hammons,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000ADtIAM,Custom field API name having subset of OOB field API name is not rendered correctly.,Configuration,Vahhab Mumtaz Lakhani,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000ACHIA2,"Conga CLM: Increase the field limit for ""APTS_AgreementHierarchyFields"" this Admin Entry.",Conga CLM (fka Apttus CLM),Harshit Solanki,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000AAfIAM,Conga CLM: Provide a way to manually create Amend/Renew relationship between 2 Agreements having different Agreement number.,Conga CLM (fka Apttus CLM),Harshit Solanki,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000A93IAE,Zoom feature in DS7Preview screen,Conga Composer,Chaitanya Taneja,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000A7RIAU,Conga Sign - Display Signed Date Plus 5 Days on Document,Conga Sign,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000A5pIAE,Copilot Assistant in Conga,Conga CLM (fka Apttus CLM),Grant Glazer,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub0000000A4DIAU,Automatically close the Composer sub tab after merge process in SF service console,Conga Composer,Maybeleen Matammu,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000A2bIAE,Train Smart Search to recognize other record type names and abbreviations for natural language search,Conga CLM (fka Apttus CLM),Michael Overman TS,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000A0zIAE,Collaboration for Option Products,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Divya Dubey,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009zNIAQ,Email Notification When Conga Trigger Fails To Generate Document,Conga Trigger,Maybeleen Matammu,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009xlIAA,Edit Default Language on Esignature Message,Conga Contracts,Emma Christensen,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009w9IAA,Sending a Message for a Workflow Step,Conga Contracts,Kirsty Montgomery,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009rJIAQ,Change CongaSign stamp on documents in Conga Contracts,Conga Contracts;Conga Sign,Christiane Bourgoine,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009o5IAA,Mass cancel sent transactions,Conga Collaborate,Austin Miller,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009mTIAQ,Intake Form for Cart,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Hardik Sheth,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009krIAA,Capability to Link Items on Cart with Each other,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Hardik Sheth,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009jFIAQ,Cancel DocuSign In progress Envelop when Agreement is cancelled,Conga CLM (fka Apttus CLM),Namir Ashraf,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000009ePIAQ,Select all Line items instead of Limited Selection in Shopping cart,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Tirthak Kothari,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009cnIAA,Data Integrity check  to ensure the data is sync between Turbo and Salesforce,"Configure, Pricing, Quoting (Conga CPQ elements, fka Apttus CPQ)",Karthikeyan Gopu,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009ZZIAY,Expose Conga Sign Audit Trail on another Object,Conga Contracts for salesforce;Conga Sign,Dawn DeBolt,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000009HpIAI,Grid - Sum for Multi Currency sets to record instead of Active User's currency.,Conga Grid,Emeryll Monique Emelo,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009GDIAY,Unsupported Excel Features,Conga Composer,Emilio Sicad Jr.,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009EbIAI,Mass delete a column across multiple grid views,Conga Grid,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009CzIAI,Custom tags become mandatory in review and Tag screen.,Conga Sign,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000009BNIAY,"Conga Sign - Allow Reporting on ""Re-Send"" action",Conga Sign,Jonathan Verret,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub000000099lIAA,Conga Composer - Parameter that will determine Formatted Report and Detailed Report.,Conga Composer,Brianson Alcantara,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000989IAA,Support insert with clause formatting for DAR,X-Author for Contracts,Namir Ashraf,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000096XIAQ,Tracking Changes like redlining,Conga Collaborate,Devannie Perkins,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub000000094vIAA,Ability for Users to Specify Save Location when checking out a Document,X-Author for Contracts,Matt Penrod,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub000000093JIAQ,Bulk Download Conga Templates Files,Conga Composer,Maybeleen Matammu,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub000000091hIAA,Request to make choice by default toggle on and select minor version,Conga CLM (fka Apttus CLM),Abhishek Jain,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub0000000905IAA,XAC checkout functionality with Autocheckout = False,X-Author for Contracts,Abhishek Jain,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008yTIAQ,Queue user able to Approve via email even if they don't have access to Approval request object.,Conga Approvals (fka Apttus Intelligent Workflows and Approvals),Rohit Bavaliya,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008wrIAA,Validation rule option is not available in wizard rules.,Conga CLM (fka Apttus CLM),Simran Singh,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008vFIAQ,"Currently for any field ""Is null"" condition option is not available in wizard rules.",Conga CLM (fka Apttus CLM),Simran Singh,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008tdIAA,Setting multiple default value for different conditions in wizard rules.,Conga CLM (fka Apttus CLM),Simran Singh,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008s1IAA,XAC 2.0 Mark field date format error on third party documents,Conga CLM (fka Apttus CLM);X-Author for Contracts,Snehal Hissal,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008qPIAQ,Large Document generating with more then 1000 line item,Conga CLM (fka Apttus CLM),Mohammed Girniwala,3 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008onIAA,Show changes made by Open in Word or Send for Negotiation as the running user instead of the integration user,Conga Contracts for salesforce,Michael Overman TS,4 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008lZIAQ,In X-Author's we would want to add more than 9 rows in Segment condition,X-Author for Contracts,Manasvi V,5 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008jxIAA,Ability to Identify Mismatched Content Control Boxes,X-Author for Contracts,Matt Penrod,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008iLIAQ,"Create a Parameter to customize ""Return to [object]"" link during/after a merge.",Conga Composer,Rueben Wichelhaus,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008gjIAA,Enhance User Experience with Dynamic Conga Authorization or Composer Screen Management,Conga Composer,Hanah Bengson,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008f7IAA,Enhanced Object Retrieval for Formula Builder in Orgs with Numerous Objects,Conga Batch;Conga Trigger,Dhanie Bermas,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008dVIAQ,Enhanced Grid View for Increased Data Visibility Without Scrolling,Conga Grid,Dan John,2 Votes
https://community.conga.com/s/ideadetail?id=087Ub00000008btIAA,"Restrict Grid View Visibility for Permission Groups Despite ""View All Data"" Permission",Conga Grid,Dan John,1 Vote
https://community.conga.com/s/ideadetail?id=087Ub00000008aHIAQ,Enhanced Copy and Paste Functionality for Grid Values Across Browsers,Conga Grid,Dan John,1 Vote
